-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5	-17.5
-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564	-16.602564102564
-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128	-15.705128205128
-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692	-14.807692307692
-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256	-13.910256410256
-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821	-13.012820512821
-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385	-12.115384615385
-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949	-11.217948717949
-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513	-10.320512820513
-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769	-9.4230769230769
